,mean,smoothing,model_type,extract_method
56,0.5431932474470855,0.38679585901753466,multinomial,HashingTF
57,0.5460085668463805,0.3840666631044826,multinomial,HashingTF
58,0.5498379132125873,0.6534825211553457,multinomial,HashingTF
59,0.5518542704291516,0.23905627432076934,multinomial,HashingTF
60,0.533024493778904,0.6333739897872556,multinomial,HashingTF
61,0.5580245111711462,0.5539142397933778,multinomial,HashingTF
62,0.5515709045070696,0.1859291871685692,multinomial,HashingTF
63,0.5572963365639382,0.07648329533567992,multinomial,HashingTF
64,0.5368403638814726,0.11986941705987109,multinomial,HashingTF
65,0.5625155763595018,0.2664864090127081,multinomial,HashingTF
66,0.5436542414748478,0.6597441023166507,multinomial,HashingTF
67,0.5648192468666222,0.3748934288261691,multinomial,HashingTF
68,0.5372349946147692,0.5350422672138445,multinomial,HashingTF
69,0.5444659515654489,0.38208015123392763,multinomial,HashingTF
70,0.5634561747466175,0.38288197302945953,multinomial,HashingTF
71,0.5461790610589187,0.27047482201161227,multinomial,HashingTF
72,0.5554455638531073,0.28475509386734327,multinomial,HashingTF
73,0.5545808328229216,0.03669376201735346,multinomial,HashingTF
74,0.5485124092684694,0.14117810770108258,multinomial,HashingTF
75,0.556953877985799,0.20993121555615746,multinomial,HashingTF
76,0.552513830288328,0.3582114113968968,multinomial,HashingTF
77,0.548330544274589,0.4874565270977915,multinomial,HashingTF
78,0.5463115385626285,0.16896137221024302,multinomial,HashingTF
79,0.5416645756208978,0.5350942543536551,multinomial,HashingTF
80,0.547060245070526,0.3188199264901047,multinomial,HashingTF
81,0.5408374894717194,0.5261323681555308,multinomial,HashingTF
82,0.5434498572180587,0.3638619949027519,multinomial,HashingTF
83,0.5463901940803069,0.2014377020038574,multinomial,HashingTF
84,0.5586930984078343,0.601809855151684,multinomial,HashingTF
85,0.5446614918760351,0.23943078207311255,multinomial,HashingTF
86,0.5502174180305729,0.02855397615730717,multinomial,HashingTF
87,0.5354078753305501,0.6410922201740304,multinomial,HashingTF
88,0.5484143273733614,0.028753652403682432,multinomial,HashingTF
89,0.5471452937077385,0.02288381789979633,multinomial,HashingTF
90,0.5388689739574303,0.21599321310392075,multinomial,HashingTF
91,0.5465628362149147,0.6190063456824589,multinomial,HashingTF
92,0.548338668811174,0.24793621867033577,multinomial,HashingTF
93,0.5397013427628623,0.5709207897996607,multinomial,HashingTF
94,0.5496162286343251,0.5708402065001781,multinomial,HashingTF
95,0.5424904727067517,0.5218486454357107,multinomial,HashingTF
96,0.5420510021934213,0.22163009174227785,multinomial,HashingTF
97,0.5580082511427111,0.32421381804027777,multinomial,HashingTF
98,0.5436155175582543,0.2644766074332982,multinomial,HashingTF
99,0.5458387305167853,0.04648446313662238,multinomial,HashingTF
